ENO1	ENO1	1.0
ENO1	ENO2	1.0
ENO1	GTT1	0.5240063546545458
ENO1	GTT2	0.6528877244995475
ENO1	YMR1	0.5707994187963272
ENO1	SER33	0.623330735678554
ENO1	IDP1	0.8070001178784099
ENO1	IDP3	0.8070001178784099
ENO1	IDP2	0.8070001178784099
ENO1	CDA2	0.6981700877416943
ENO1	FAA1	0.6565085851312351
ENO1	FAA3	0.6565085851312351
ENO1	BTS1	0.6578896360182199
ENO1	MLS1	0.5141363834220332
ENO1	FAA2	0.6280355519413908
ENO1	FAA4	0.6673382655294332
ENO1	TKL2	0.712647350312566
ENO1	TKL1	0.712647350312566
ENO1	CDA1	0.6981700877416943
ENO1	FAS2	0.6899113511017038
ENO1	LSC1	0.6146577230283997
ENO1	NMA1	0.5912889793295193
ENO1	ATH1	0.5372670182606141
ENO1	LPP1	0.4973916257510517
ENO1	COX3	0.5653610366320916
ENO1	NMA2	0.5912889793295193
ENO1	GLG1	0.7003630219326831
ENO1	ASP3-1	0.511415157551976
ENO1	MCT1	0.5296121455032594
ENO1	GLG2	0.7003630219326831
ENO1	PYC1	0.761763839316469
ENO1	FAS1	0.606170243544011
ENO1	ADH5	0.7459887104491929
ENO1	COX2	0.6761363719698577
ENO1	ADH4	0.7459887104491929
ENO1	COX1	0.7358796461194725
ENO1	LSC2	0.7571951675807206
ENO1	ASP3-3	0.511415157551976
ENO1	ADH3	0.7204840764342914
ENO1	ASP3-2	0.511415157551976
ENO1	ASP3-4	0.511415157551976
ENO1	THI3	0.8049928754848921
ENO1	AAT1	0.5950309315775384
ENO1	PYC2	0.761763839316469
ENO1	ADH2	0.7204840764342914
ENO1	AAT2	0.5899649900509143
ENO1	CTA1	0.7024129980206664
ENO1	EPT1	0.5135332909364944
ENO1	ELO3	0.5159979210293602
ENO1	ELO2	0.5159979210293602
ENO1	ARG2	0.4538562651565338
ENO1	LAC1	0.5173147862561978
ENO1	SCT1	0.4552983991189288
ENO1	ADH1	0.7196232593946563
ENO1	CTT1	0.7024129980206664
ENO1	MET10	0.6304434113496395
ENO1	OPI3	0.46345867347598246
ENO1	RIP1	0.7392889328324883
ENO1	HMG1	0.5187301700802929
ENO1	SAM2	0.7298246468665464
ENO1	HMG2	0.5187301700802929
ENO1	SAM1	0.7298246468665464
ENO1	URA10	0.45373331394961725
ENO1	GDH1	0.5094764256898441
ENO1	GDH3	0.5094764256898441
ENO1	DAL7	0.5141363834220332
ENO1	CDC19	0.7372571835387141
ENO1	SHM2	0.6419250580440945
ENO1	STT4	0.6199064659600132
ENO1	HXK1	0.6134074330060674
ENO1	GSY1	0.4524363388273885
ENO1	SHM1	0.6419250580440945
ENO1	GSY2	0.5572497135152038
ENO1	TRP3	0.6192065285354489
ENO1	HXK2	0.6134074330060674
ENO1	TRP2	0.8141605689154621
ENO1	IMD3	0.7376788035784427
ENO1	BAT2	0.44227101006099645
ENO1	BAT1	0.44227101006099645
ENO1	PAH1	0.5260633947437866
ENO1	IMD4	0.7376788035784427
ENO1	IMD2	0.7309430792054343
ENO1	LAG1	0.5173147862561978
ENO1	HYR1	0.42693640417052225
ENO1	ARG7	0.4536177250478205
ENO1	APT1	0.7182679714557852
ENO1	SOL4	0.5105537112779466
ENO1	MDH2	0.5219921061189453
ENO1	CHO2	0.4516218103093184
ENO1	ILV1	0.741327015507327
ENO1	SOL3	0.5105537112779466
ENO1	SDH1	0.584741758295743
ENO1	MDH1	0.58493627225998
ENO1	MDH3	0.58493627225998
ENO1	CAT2	0.454665541432649
ENO1	PDB1	0.7118227666774861
ENO1	PIK1	0.6199064659600132
ENO1	SDH2	0.6928191551099321
ENO1	NTH1	0.6311861045419478
ENO1	PDA1	0.7118227666774861
ENO1	GPT2	0.4552983991189288
ENO1	HIS7	0.6145132637322734
ENO1	CHA1	0.7296869972903409
ENO1	ERG20	0.6655525214530976
ENO1	CPA1	0.6501314891560314
ENO1	TRR2	0.519319354954882
ENO1	GRX2	0.5430633859015894
ENO1	CPA2	0.7227939936338065
ENO1	SDH9	0.584741758295743
ENO1	TRR1	0.5489186378467596
ENO1	GRX1	0.5458850642021389
ENO1	GPD2	0.6140192259229679
ENO1	APT2	0.6072578444931772
ENO1	BNA3	0.567679754771494
ENO1	GPD1	0.6140192259229679
ENO1	MIS1	0.6394950053497505
ENO1	SAC1	0.49677826756341736
ENO1	PYK2	0.7972464272671133
ENO1	INM2	0.6666757017053726
ENO1	YAT2	0.454665541432649
ENO1	ASN2	0.6648448076426032
ENO1	YAT1	0.4542679357221807
ENO1	ASN1	0.6648448076426032
ENO1	INM1	0.6666757017053726
ENO1	CYT1	0.685958711880764
ENO1	URA5	0.45373331394961725
ENO1	COB	0.67539395396434
ENO1	GLO2	0.7290319878324545
ENO1	GLO4	0.7290319878324545
ENO1	DPP1	0.4973916257510517
ENO1	OAR1	0.607941580979372
ENO1	CIT1	0.5125671911025094
ENO1	URA8	0.6508792539802917
ENO1	URA7	0.6508792539802917
ENO1	RNR4	0.5240773923357888
ENO1	CHS3	0.45565043083612267
ENO1	CIT3	0.5006609854247399
ENO1	CEM1	0.5140664106442058
ENO1	CHS2	0.45565043083612267
ENO1	CHS1	0.45565043083612267
ENO1	PDC6	0.7801006686387051
ENO1	RNR2	0.7153078570031184
ENO1	PDC5	0.7801006686387051
ENO1	PDC1	0.7801006686387051
ENO1	ARO10	0.7657100387971639
ENO1	URA2	0.7034238915287003
ENO1	LYS20	0.7411084146417726
ENO1	IDH2	0.7795317516366206
ENO1	RNR3	0.6566933500226543
